Station,Year,Month,Maximum Temperature (Deg.Cel),Minimum Temperature (Deg.Cel),Total Rainfall (mm),Humidity (percent),Wind Speed (m/s),Cloud Coverage (Octs),Sunshine (Hours)
Ambagan (41977),2012,1,27.33,14.9,0.0,,,,
Ambagan (41977),2012,2,30.81,16.51,0.0,,,,
Ambagan (41977),2012,3,31.84,21.95,0.0,,,,
Ambagan (41977),2012,4,32.24,23.65,0.0,,,,
Ambagan (41977),2012,5,33.55,25.16,0.0,,,,
Ambagan (41977),2012,6,32.12,25.58,0.0,,,,
Ambagan (41977),2012,7,30.91,25.47,0.0,,,,
Ambagan (41977),2012,8,32.05,25.65,0.0,,,,
Ambagan (41977),2012,9,32.6,25.72,0.0,,,,
Ambagan (41977),2012,10,32.36,23.82,0.0,,,,
Ambagan (41977),2012,11,30.43,20.02,0.0,,,,
Ambagan (41977),2012,12,27.08,14.33,0.0,,,,
Ambagan (41977),2013,1,26.88,12.74,0.0,,,,
Ambagan (41977),2013,2,31.29,16.74,0.0,,,,
Ambagan (41977),2013,3,32.6,21.09,0.0,,,,
Ambagan (41977),2013,4,33.34,24.37,0.0,,,,
Ambagan (41977),2013,5,30.95,24.55,0.0,,,,
Ambagan (41977),2013,6,32.59,26.0,0.0,,,,
Ambagan (41977),2013,7,31.47,25.83,0.0,,,,
Ambagan (41977),2013,8,31.41,25.71,0.0,,,,
Ambagan (41977),2013,9,32.12,25.48,0.0,,,,
Ambagan (41977),2013,10,31.24,24.02,0.0,,,,
Ambagan (41977),2013,11,31.55,19.12,0.0,,,,
Ambagan (41977),2013,12,28.09,15.84,0.0,,,,
Ambagan (41977),2014,1,27.45,14.21,0.0,,,,
Ambagan (41977),2014,2,28.96,16.59,0.0,,,,
Ambagan (41977),2014,3,32.35,20.56,0.0,,,,
Ambagan (41977),2014,4,35.01,25.12,0.0,,,,
Ambagan (41977),2014,5,33.65,26.07,0.0,,,,
Ambagan (41977),2014,6,32.28,25.54,0.0,,,,
Ambagan (41977),2014,7,32.42,26.14,0.0,,,,
Ambagan (41977),2014,8,31.34,25.49,0.0,,,,
Ambagan (41977),2014,9,32.66,25.38,0.0,,,,
Ambagan (41977),2014,10,32.98,23.98,0.0,,,,
Ambagan (41977),2014,11,31.64,20.05,0.0,,,,
Ambagan (41977),2014,12,28.43,16.07,0.0,,,,
Ambagan (41977),2015,1,27.62,15.62,4.0,74.03,1.68,1.48,7.14
Ambagan (41977),2015,2,29.78,16.84,0.0,67.29,1.64,0.68,7.99
Ambagan (41977),2015,3,33.32,20.74,18.0,62.65,1.95,1.26,8.66
Ambagan (41977),2015,4,32.31,23.47,292.0,81.5,2.08,4.47,6.55
Ambagan (41977),2015,5,33.6,25.81,110.0,82.0,2.13,3.81,7.12
Ambagan (41977),2015,6,32.32,26.24,699.0,85.6,2.19,5.87,4.45
Ambagan (41977),2015,7,30.4,25.37,1466.0,89.39,2.25,6.9,1.83
Ambagan (41977),2015,8,31.51,25.8,586.0,85.52,2.13,6.45,3.89
Ambagan (41977),2015,9,32.68,25.73,390.0,83.93,1.99,5.33,5.29
Ambagan (41977),2015,10,32.23,23.95,349.0,84.81,1.88,3.97,5.31
Ambagan (41977),2015,11,30.92,19.97,4.0,79.1,1.36,1.33,7.68
Ambagan (41977),2015,12,27.21,16.52,9.0,76.68,1.63,2.19,4.99
Ambagan (41977),2016,1,26.8,14.61,2.0,75.71,1.81,1.45,6.7
Ambagan (41977),2016,2,30.22,19.64,17.0,74.62,2.09,2.07,6.06
Ambagan (41977),2016,3,32.91,22.78,65.0,76.42,2.42,2.48,7.42
Ambagan (41977),2016,4,32.8,26.25,36.0,78.6,3.38,4.93,6.29
Ambagan (41977),2016,5,33.28,25.31,274.0,78.81,2.2,4.61,5.85
Ambagan (41977),2016,6,32.75,25.92,268.0,81.37,2.25,5.27,5.53
Ambagan (41977),2016,7,31.22,25.77,583.0,86.42,2.2,6.71,3.23
Ambagan (41977),2016,8,31.78,25.9,390.0,84.94,2.14,6.1,4.85
Ambagan (41977),2016,9,32.64,25.77,386.0,84.57,2.02,5.53,6.16
Ambagan (41977),2016,10,32.73,24.88,157.0,84.81,1.83,4.35,5.95
Ambagan (41977),2016,11,30.19,20.07,96.0,83.53,1.72,1.93,7.57
Ambagan (41977),2016,12,29.38,17.55,0.0,81.35,1.79,0.97,7.67
